Region;Macron;Le Pen;Fillon;Melanchon;Hamon;Dupont Aignan;Lassalle;Poutou;Asselineau;Arthaud;Cheminade;Blancs;Nuls;Abstention;Inscrits;Exprimés;Premier
Ile-de-France;1612516;708026;1249586;1224978;430324;226203;36350;45705;64391;23582;9795;87595;32458;1567775;7199231;5631456;Macron
Auvergne-Rhone-Alpes;1025872;867591;845905;805588;256532;215883;53247;43509;41336;24656;7597;78647;30798;1228996;5416712;4187716;Abstention
Nouvelle-Aquitaine;851304;640148;602830;703439;240157;155581;91904;49646;26664;21439;6262;63983;30437;940568;4329942;3389374;Abstention
Hauts-de-France;630285;1003216;521373;633313;166630;160721;22410;33652;26043;29193;5688;58622;25548;1009363;4241887;3232524;Abstention
Occitanie;740031;762087;566036;734193;216349;135403;75482;35216;28603;16776;5524;56860;27267;878594;4194294;3315700;Abstention
Grand-Est;615776;825604;586390;484810;151296;182200;30508;34468;30223;24272;6078;55656;20290;901777;3873402;2971625;Abstention
Provence-Alpes-Cote d'Azur;520978;774781;615524;515415;113365;119050;29554;21314;25950;10437;4569;44480;15421;816803;3567740;2750937;Abstention
Pays de la Loire;575832;364267;516428;403455;143491;109842;16988;26340;15529;16018;3731;44175;16603;513249;2705170;2191921;Macron
Bretagne;581076;306644;380815;385736;180827;87928;19097;27092;13419;14296;3400;34417;13865;453353;2453683;2000330;Macron
Normandie;422960;452586;370105;362426;113705;98907;13896;23804;14301;15194;3544;35209;13181;506754;2398182;1891428;Abstention
Bourgogne-Franche-Comte;338191;387662;304391;276958;87386;87267;15847;18533;14332;11496;2843;31180;12573;456750;2001656;1544906;Abstention
